gangguan,solusi
Email,"Done, 
sudah dilakukan penambahan storage"
Aplikasi Office/Perkantoran,Pengechek an sabungan kabel pada printer
ERP (IM4),silahkan dicek kembali
Gangguan OS,"Pembersihan slot RAM, dan SSD"
Gangguan CPU,Penarikan port DP pada  port VGA
Email,"karena tidak bisa login, kita update passwordnya jadi:
Ptpal@123

nb: 
- mohon untuk mengupdate lagi pwd nya agar aman
- jika salah login 3x maka harus nunggu 10menit, untuk menghindari brute force
terima kasih"
Aplikasi Office/Perkantoran,"dari file word ke libre memang sering berantakan, karna perbedaan format dan mungkin juga ada beberapa fitur di word yang tidak ada pada libre. solusinya buka file menggunakan word atau jika tidak ada bisa menggunakan WPS Office"
Instalasi Aplikasi,"Penginstallan e-browser beserta lisensinya, namun pada des-cae-148 untuk lisensinya belum bisa karna bergantian dengan yang lain"
NAPA - Cadmatic - Nesting,Sudah di restore pada server di proyek w0304
Aplikasi Office/Perkantoran,"Untuk lisensi sudah ada, mungkin muncul peringatan seperti digambar saat ada yang sama mengakses software tersebut, dan harus bergantian. karna lisensi untuk PATRAN hanya untuk 1 user."
Network Access,untuk permohonan akses wifi harap mengisi form dari div TI
Gangguan CPU,"Setelah dilakukan pengechek an tidak ada kerusakan pada hardware, hanya saja ada masalah pada kabel power"
Gangguan OS,Setelah dilakukan pengechek an hanya putuh pembersihan RAM dan memastikan ram terpasasng dengan benar
Network Access,"PC terdeteksi menggunakan OS windows 7. untuk koneksi di PAL, OS windows minimal pakai windows 10 tolong di update OS di PC tersebut"
Network Access,"Tidak ada ganguan pada Access Point, apabila masih belum bisa HP im4 harap dibawa ke Div TI untuk dilakukan pemeriksaan"
Network Access,Lan card laptop rusak
Absensi,silahkan dicek kembali
NAPA - Cadmatic - Nesting,Projects sudah tercreated di pal-cos1 V:
Gangguan OS,"kemarin sudah sempat di chek untuk unit ada bit lokernya kalau mau cobak safe mood. solusinya bisa langsung ditanyakan pada vendor saat pembelian barang
"
Gangguan CPU,"Setelah dilakukan pengechek an kerusakan disebabkan karna daya pada power suplay kurang, sehingga dibutuhkan untuk penggantian PSU
"
Instalasi Aplikasi,install drive printer
Gangguan Aplikasi Pendukung,"penyebab error bisa dari banyak nya file pada folder C, jika benar masalah disebabkan karna banyak nya file pada Folder C maka disarankan untuk menghapus file yang tidak penting atau memindahkan pda folder lain"
ERP (IM4),"masukkan progress di level 4 agar dashboardnya bisa ter update 
jika masih ada yang di tanyakan silahkan hubungi Mbak Dhina"
Instalasi Aplikasi,"Pengenstalan aplikasi semua yang tertera, tetapi untuk ebrowser dan napa belum mendapatkan akses lisensi
"
Aplikasi Office/Perkantoran,Pensettingan pada pengaturan office
Email,Receiver sudah bisa menerima & menggirim email
Network Access,penggantian kabel lan
Gangguan Aplikasi Pendukung,"Setelah dilakukan pengechek an, kerusakan terdaoat pada motherboardnya. dan harus dilakukan pengantian"
Gangguan CPU,"join domain, rename device id, dan install aplikasi standart"
Gangguan CPU,"sudah kami coba untuk penyetinggan pada bios ternyata harus mengechek kedalam pc, dan pc riskan jika dibongkar. kami sarankan untuk dibawa langsung ke service center"
NAPA - Cadmatic - Nesting,"sudah dilakukan instalasi untuk e-browsing. 
bisa di ambil di mapping
"
NAPA - Cadmatic - Nesting,Done by IT staff Sekar
Aplikasi Office/Perkantoran,install aplikasi ansys 2024 beserta lisensi
Absensi,silahkan di cek kembali
Gangguan CPU,"Penggantian PSU, windows update dan setting jaringan"
Absensi,Silahkan di cek kembali
ERP (IM4),Silahkan di cek kembali
Gangguan CPU,"cleaning file pc, jika masih lemot bisa dicoba login ke pc lain, jika di pc lain tetep lemot berarti masalah terletak pada usernya"
Gangguan CPU,Setting pada controlpanel dan services
ERP (IM4),"salah 1 line timesheet sudah di hapus, silahkan di cek kembali"
Network Access,penarikan kabel 2 titik
Gangguan Aplikasi Pendukung,windows update
Aplikasi Office/Perkantoran,"install zwcad berserta lisensi, wps office, update winsows untuk monitor 2"
Aplikasi Office/Perkantoran,"uninstall & Pelepasan lisensi aster pada des-cae-50, dan dipindahkan pada des-cae-86"
Network Access,User siapkan pcnya masing2 bisa nyala & konek an kabel jaringan baru dibantu setting jaringan
Gangguan CPU,Setelah dilakukan pengechekan kerusakan terdapat pada powersupplay dan motherboard
Gangguan CPU,setelah dilakukan pengechek an tidak ada masalah pada pc dan pc berjalan normal. sepertinya hdmi bermasalah
Gangguan CPU,"Setelah dilakukan pengechekan, kerusakan terjadi karena driver vga yang korup solusinya diinstall ulang windows"
Gangguan OS,"settingan pada disply monitor
"
Gangguan CPU,"Update windows serta cleaning pc
"
Network Access,"Siapkan PC bisa nyala dan siapkan kabel jaringannya
** Kita bantu setting jaringan & tunggu antrian***"
Gangguan CPU,Setelah dilakukan pengechek an kerusakan terdapat pada vga 
Network Access,"Silahkan kondisikan PC bisa nyala dan tancapkan kabel jaringan
"""""" Akan dibanti settingnya"""
Network Access,"siapkan PCnya, bisa hidup & koneksikan kabel jaringan
** kita bantu setting koneksinya***"
ERP (IM4),untuk cuti backdate hanya bisa di buatkan oleh manager/atasan langsung
Gangguan Storage,install ulang windows dan install aplikasi standart
ERP (IM4),"nomor WO 8-WO204531128535 sudah tidah ada datanya
nomor WO 8-WO240603129574 sudah kami close"
Gangguan Aplikasi Pendukung,"mohon maaf sebelumnya, untuk pembeliian lisensi office diserahkan kepada user masing masing
"
Network Access,"jaringan aman, perlu update windows untuk menyambungkan ke jaringan pal"
Absensi,silahkan mencari lokasi dengann jaringan yg lebih baik
Network Access,Jaringan dan AP sudah nyala kembali untuk di daerah power house
Gangguan CPU,"setelah dilakukan pengechek an ternyata kipas yang berada pada chesing retak sehinggak longgar dan tertabrak cessing pc saat berputar, sehinggak menyebabkan bunyi"
Gangguan Aplikasi Pendukung,"Mensetting kedua device yang digunakan untuk aster, setelah itu restart komputer dan run aster kembali"
ERP (IM4),ID tersebut telah terbuat PR 
Email,"sudah saya increase storage emailnya, 
tapi mohon maaf jika increase nya sedikit, karena menggingat storage server nya tinggal sedikit(masih menunggu untuk pengadaan storage).
mohon pengertiannya, Terima Kasih"
Instalasi Aplikasi,Setelah dilakukan pengechek an ternyata hdd tidak terdeteksi. oleh karna itu dilakukan pengantian hdd dan penginstallan os serta aplikasi standart
Email,"Berdasarkan keterangan pada gambar, file ditolak oleh server email penerima (@anschuetz.com) karena dianggap melebihi kapasitas. Umumnya, beberapa perusahaan memang membatasi ukuran lampiran antara 10–25 MB.
Sebagai alternatif, saya sarankan file dikirim melalui link Google Drive saja, Pak 🙏"
Gangguan CPU,"setelah dilakukan pengechek an terdeteksi banyak nya malware yang menyebabkan pc lemot. maka dari itu kita lakukan install ulang windows, beserta instalasi aplikasi standart."
Gangguan CPU,"setelah dilakukan pengechek an monitor mati disebabkan karna ram yang kotor, sehingga kami lakukan pembersihan ram. dan komputer kembali normal.
"
Instalasi Aplikasi,Installasi nitro dan ifs 9 
Gangguan Aplikasi Pendukung,Raname hostname komputer 
Network Access,port pada switch penuh jadi untuk penambahan tarikan kabel LAN perlu penambahan switch
Instalasi Aplikasi,Dilakukan penginstallan office 2019 
Gangguan Aplikasi Pendukung,Akses server sudah bisa di gunakan kembali
Email,"Sudah di upgrade jadi 25gb, 
(mohon maaf tidak bisa menambah kapasitas sesuai request, di karenakan sisa storage server tinggal sedikit, menyesuaikan dengan yang lain)
terima kasih"
Network Access,setting file sharing
Gangguan Aplikasi Pendukung,"setelah dilakukan pengechek an tidak ada masalah pada aplikasi dan bisa menampilkan di kedua monitor. hanya saja
 untuk settingan keyboard dan mouse nya yang harus diganti"
Absensi,bisa dicek kembali
Instalasi Aplikasi,"Install os, install aplikasi standart, setting jaringan, dan vnc"
Absensi,"jika telah tiba di PT PAL langsung melakukan absensi, karena jika terdapat case seperti ini lagi tidak dapat diperbaiki"
Gangguan I/O Peripheral,Penggantian Battrai CMOS
Absensi,Silahkan di cek kembali ( refresh terlebih dahulu)
Instalasi Aplikasi,sudah ada exel 2010
Absensi,"silahkan dicek kembali, dan silahkan bawa gadget ke IM4 untuk dilakukan pengecekan "
Instalasi Aplikasi,Memasukkan Lisensi Pada Office
Instalasi Aplikasi,"untuk laptop hanya settingan biasa tidak ada proteksi tambahan, untuk proteksi tambahan diserahkan pada user tersendiri"
Instalasi Aplikasi,"Setting jaringan, install aplikasi standart, dan join domain
"
ERP (IM4),timesheet sudah di draft silahkan jika ingin menghapus atau mengubah line 
Email,Sudah di tambahkan kapasitas storagenya
Email,"Sudah di buatkan email nya
silahkan untuk di cek kembali
terima kasih"
Email,"sudah dibuatkan email.
silahkan di check, 
Terima kasih"
Gangguan CPU,"setelah dilakukan pengechek an tidak ada masalah pada hardware, masalah  terletak pada software yang membutuhkan install ulang windows, install aplikasi standart, dan juga penyetingan jaringan"
Gangguan Storage,Hapus backup sistem karena memakan ruang penyimpanan yang begitu besar
Gadget IM4,done
Gangguan CPU,me restart password menggunakan PCUnlocker
Absensi,sudah disesuaikan sesuai dengan print dan stampel kam
ERP (IM4),dapat dicoba kembali
Instalasi Aplikasi,Instal software aplikasi Zwcad dan WPS Office
Aplikasi Office/Perkantoran,"1. Instal software foxit pdf di komputer DES-CAE-184 & DES-CAE-187
2. instal excel di DES-CAE-187"
Email,"Sudah dilakukan penambahan storage, 
silahkan di check kembali
terima kasih"
Gangguan CPU,"setelah dilakukan pengechek an tidak ada kerusakan pada hadware, namun terdapat kerusakan pada OS. sehingga dibutuhkan install ulang pada PC"
Instalasi Aplikasi,install aplikasi ebrowser beserta lisensinya
Gangguan Aplikasi Pendukung,"setelah dicek nitro membutuhkan lisensi, installasi wps office sebagai penganti nitro pdf"
Email,"terjadi error karena email belum di buat, 
ini sudah di buatkan
silahkan di coba terima kasih"
Gangguan OS,"Install windows 11 beserta update, instal aplikasi trandmicro, 365, nitro beserta lisensinya"
Instalasi Aplikasi,"Install ualang windows 10 dengan lisensi, install aplikasi standart, dan setting jaringan"
Network Access,Setting ulang PC
NAPA - Cadmatic - Nesting,"sudah dilakukan pengechek an pc, join domain, install aplikasi standart dan penginstalan ebrowser beserta lisensi"
Instalasi Aplikasi,"Installasi Windows 11 5 NUC, pengistallan aplikasi standart desain dan windows update"
Instalasi Aplikasi,"setting laptop baru, windows update, install aplikasi standart desain "
Instalasi Aplikasi,Penginstallan aplikasi Blander
Instalasi Aplikasi,penginstallan e-browser beserta lisensi
Absensi,data perizinan sudah di sesuaikan oleh kam
Absensi,lain kali mohon dipastikan data attendance sudah tercord dulu baru memulai aktivitas
Absensi,"data attendance sudah sesuai, tidak bisa CI karena hari sebelumnya tidak CO"
Absensi,"silahkan di cek kembali, silahkan di force close apabila mengalami kendala yang sama"
NAPA - Cadmatic - Nesting,Sudah disolusi silahkan klik license dan kemudian ok ketika menggunakan 
NAPA - Cadmatic - Nesting,Remote langsung ke PC terkait
Email,"silahkan di coba login lagi
terima kasih"
Instalasi Aplikasi,Penginstallan WPS office
Akses Internet,Setting vlan
Network Access,update windows
Absensi,"silahkan dicek kembali. apabila terjadi hal serupa kembali, silahkan bawa gadget im4 ke TI untuk dilakukan pengecekan"
Gangguan Aplikasi Pendukung,"pembersihan folder temp, disk cleaup, kemudian reset laptop dan penginstallan driver printer"
Aplikasi Office/Perkantoran,Penginstallan driver printer dan mensetting pengaturan printer
Gangguan OS,mengubah settingan pada control panel power&sleep menjadi never
Gangguan CPU,setelah dilakukan pengechak an terdapat kerusakan pada power supply dan juga motherboard
Instalasi Aplikasi,memasukkan lisensi zwcad
Network Access,Setting IntraPal
Gangguan Storage,"Setelah dilakukan pengechek an terdapat kerusakan pada HDD, dan dilakukan pengantian oleh user"
Network Access,setting vlan
Network Access,Setting jaringan komputer
Network Access,"Kabel backbone FO, habis dimakan tikus. dilakukan splashing ulang"
Gangguan CPU,"setelah dilakukan pengechek an tidak ada masalah pada komputer dan berjalan normal, hanya saja saat awal di nyalakan keluar debu"" dari kipas komputer. solusinya dilakukan pembersihan pada komputer dan disk"
Gangguan OS,"Setelah dilakuka pengechek an tidak ada masalah pada hdd maupun ssd, hanya banyaknya debu pada sekitar kabel yang menyebabkan hdd & ssd tidak terbaca. solusnya dilakukan pembersihan perangkat dan disk"
Instalasi Aplikasi,"install ualang windows, installasi aplikasi standart, dan pebersihan disk"
Aplikasi Office/Perkantoran,installasi e-browser dan wps office
Gangguan OS,"Setelah dilakukan pengechek an ternyata banyaknya file sampah pada komputer, solusinya dilakukan disk cleanup"
Gangguan OS,"install ulang windows 10, install aplikasi standart, diskclean up PC"
Instalasi Aplikasi,"sudah konfrimasi ke user bahwa kebijakan baru untuk key office diserahkan ke user atau divisi masing"""
Absensi,"Hal itu terjadi karena setelah membuat cuti, tetap menekan tombol CO saja"
Absensi,"Hal itu terjadi karena setelah terdapat dinas, tetap menekan tombol CO saja. Apabila terjadi seperti itu lagi, silakan tetap menekan tombol CO saja."
Email,"di abaikan saja pesannya, 
sepertinya phising karena ketika di lakukan check alamat email pada server , tidak di temukan nama email tersebut"
NAPA - Cadmatic - Nesting,"Projek 1 n 2 di R, yang 3 di V"
NAPA - Cadmatic - Nesting,Telah disolusi Sekar TI
Aplikasi Office/Perkantoran,done uninstall cadmatic
Absensi,"mohon untuk datang lebih, untuk persiapan absensi"
Absensi,"silahkan di cek kembali, mohon cek reporting setelah absen"
Instalasi Aplikasi,Instal WPS Office
Email,"Done, silahkan di check kembali"
Instalasi Aplikasi,"Uninstal software ansys, karena sudah tidak digunakan"
Gangguan OS,"1. Instal ulang windows
2. Instal aplikasi standar office.
3. Setting Jaringan"
Gadget IM4,melakukan restart / check date & time nya
Gangguan Storage,"setelah dilakukan pengecek an tidak ada masalah pada hadware maupun softwarenya, hanya dilakukan disk cleanup, windows update"
Absensi,"Silahkan membuat Time off untuk tanggal yang tidak hadir
status akan berubah otomatis saat time off sudah di approve"
Instalasi Aplikasi,"Install office, nitro pdf, dan chrome (Instal aplikasi standar office)"
Instalasi Aplikasi,"Setting 7 komputer baru sesuai standar komputer desain.
- Instal aplikasi standar desain
- join domain
- create partisi harddisk
- update windows
- setting internet

Untuk penggunaan komputer perlu pengajuan form hak akses user"
Network Access,"kabel LAN putus digigit tikus, penariakan kabel LAN baru"
Absensi,data CO tgl 20 sudah sesuai
Gangguan CPU,"1. Penggantian motherboard yang rusak
2. Pengecekan komputer hasil oke dan lancar."
Instalasi Aplikasi,login sebagai admin untuk setting konktivitas headseat bluetooth
Gangguan CPU,dilakukan install ulang windows
Instalasi Aplikasi,"- Instal Autodesk 3DS Max.
- Proses lama karena pengecekan lisensi dan installer-nya
"
ERP (IM4),sudah melakukan konfirmasi melalui whatsapp
Absensi,Data sudah sesuai dan tidak ada yang salah pada tgl 19/06/2025
Gangguan CPU,pergantiian ssd 
Gangguan CPU,"setelah dilakukan pengechek an kerusakan terjadi pada CPU, namun untuk unit dibawa terlebih dahulu oleh user."
Instalasi Aplikasi,Instal driver printer
Instalasi Aplikasi,Instal visioo
Gangguan OS,"1. Setelah dilakukan pengecekan, kerusakan terdapat pada power supply dan perlu dilakukan penggantian oleh user.
2. Penggantian Power Supply, hasil tes oke."
Absensi,"Silahkan di cek kembali, apabila terdapat error seperti pada pada gambar, silahkan force close aplikasi dan pastikan internet sudah terhubung dengan im4Brain "
Gangguan OS,"1. Untuk backup data tidak bisa dilakukan karena penyimpanan SSD bitlocker aktif dan perlu key... (sudah diberikan key tapi tetap tidak bisa)
2. Pihak IT menyarankan user service di service center HP. Karena pemulihan bit locker dan pengecekan perangkat lebih detail."
Email,"Silahkan di coba kembali.
Terima  Kasih"
Instalasi Aplikasi,Instal software Ansys
Network Access,Pindah jalur power supply listrik
Network Access,1. Penggantian akses user sesuai dengan yang diminta
Absensi,"Untuk cuti, dinas dan sakit status akan berubah otomatis saat dokumen sudah approve. "
Absensi,"hal ini disebabkan karena personel membuat cuti/dinas, jika terjadi case seperti ini lagi silahkan untuk tetap melakukan absensi, nanti akan terecord check out"
Gangguan CPU,"1. Update Windows
2. Disk Clean Up
3. Clear cache"
Network Access,kabel LAN putus digigit tikus
Absensi,silahkan di periksa kembali
Instalasi Aplikasi,"1. Setup firewall pc
2. Menyesuaikan koneksi
3. Test done"
Absensi,"setelah absen pastikan reporting telah sesuai, jika terdapat case seperti ini lagi tidak dapat diperbaiki"
Gangguan OS,"1. Setelah dilakukan pengecekan kerusakan pada SSD dan perlu dilakukan penggantian.
2. Penggantian SSD oleh user
3. Instal Win 10 beserta aplikasi standar office"
ERP (IM4),WO telah didelete silahkan di periksa kembali
Instalasi Aplikasi,"1. Untuk instal microsoft office perlu lisensi.
2. komunikasi dengan user, user tidak memiliki lisensi
3. pihak it memberikan opsi untuk install WPS office free."
Email,"setelah dilakukan pengecekan, 
Storage sudah d tambah"
Absensi,"Untuk data tanggal 5, mohon dapat dicek kembali. Sementara untuk tanggal 2–4, silakan koordinasikan dengan tim HCM."
Gangguan CPU,"1. Komputer dibawa user ke-TI. Dilakukan pengecekan tidak ada masalah apapun.
2. Problem ternyata ada di user yang salah menancapkan kabel HDMI... harusnya di VGA card nya bukan di VGA Onboard"
Network Access,Setting jaringan di PC user
Aplikasi Office/Perkantoran,Instal office excel 2010
Gangguan CPU,"disk clean up PC, peng installan exel dan pdf creator"
ERP (IM4),"Silakan dicek kembali. Apabila kejadian serupa terjadi lagi, mohon segera menghubungi ext IM4: 3512 pada hari yang sama."
Absensi,lain kali mohon untuk cek reporting setelah absen
Email,sudah dilakukan penambahan storage email
Absensi,"Silahkan di cek kembali, mohon untuk datang lebih awal untuk spare waktu CI "
Instalasi Aplikasi,Instal office excel 2010 di komputer des-cae-191 & des-cae-131
Network Access,setting ulang
Absensi,"Silahkan di cek kembali, lain kali mohon di cek ke reporting untuk memastikan data sudah terecord"
Network Access,perlu pengadaan switch distribusi baru karena switch yg terpasang adalah switch lama
Email,kapasitas storage sudah di increase
Absensi,"hal ini terjadi karena personel terdapat cuti/dinas, seharusnya personel tetap melakukan absensi, karena absensi akan tetap terecord check out."
NAPA - Cadmatic - Nesting,Telah di solve oleh Sekar Divisi TI 
Aplikasi Office/Perkantoran,Install Nitro PDF
Instalasi Aplikasi,1. Instal ulang cad hull
Instalasi Aplikasi,Instal ulang ebrowser
NAPA - Cadmatic - Nesting,Telah di solusi Sekar divisi TI
Gangguan Aplikasi Pendukung,"Setelah dilakukan pengecekan, NAPA tidak bisa dijalankan karena akun user belum tekoneksi ke drive mapping napa (n:/)."
Absensi,"confirmed not spoofing artinya dikonfirmasi bukan spoofing,
jadi sudah di konfirmasi bahwa tidak ada pelanggaran yang dilakukan"
Instalasi Aplikasi,Instal ms office excel 2014 trial dan WPS office
Gangguan Aplikasi Pendukung,"Setting email, format file hanya bisa dibuka dengan email outlook"
Instalasi Aplikasi,Instal Office excel 2010 versi trial dan instal WPS Office di komputer DES-CAE-184 & DES-CAE-187
Gangguan CPU,pengantian vga
Network Access,crimping kabel LAN dan setting jaringan di PC
Network Access,setting ulang jaringan di PC
Network Access,setting jaringan
Gangguan CPU,"1. Setelah dilakukan pengecekan kerusakan bukan pada komputer, tapi pada kabel power monitor.
2. Perlu dilakukan penggantian kabel power monitor"
Network Access,setting ulang jaringan
Gangguan CPU,"update windows, pembersihan memory, dan juga pengecek an kerusakan pada memory"
Network Access,reboot perangkat switch distribusi 2
Network Access,"Nip belum terdaftar untuk konek ke HotspotPAL, harap menghubungi PIC TI div. Desain (mas Aldie) untuk melakukan pendaftaran HotspotPAL. Trims"
Network Access,Setting ulang credentials
Gangguan CPU,"1. Dilakukan penggantian kabel power pada motherboard.
2. HDD tidak terbaca, dilakukan pengecekan HDD dan kondisi kesehatan HDD 70%.
3. Penggantian HDD
4. Instal windows beserta aplikasi standar office
5. Update Windows
6. Backup file harddisk lama ke baru dan sebaliknya.

"
Instalasi Aplikasi,"1. Aplikasi libre sudah terinstal di 3 komputer tsb.
2. Untuk office 2021 sudah expired
3. instal excel 2010 versi trial"
NAPA - Cadmatic - Nesting,"telah di restore, silahkan dichek di cadmaticrestor2"
Instalasi Aplikasi,"1. Email tidak bisa dibuka karena file email hilang
2. setting ulang email
3. cek, hasil oke"
Network Access,sisa kabel telepon dan masih aktif
Email,"done, Storage telah di update"
Email,"Done, silahkan untuk di cek kembali storagenya
terima kasih"
Gangguan OS,"reset file exploler, disable startup pada task manager"
Gangguan OS,"1. Aktivasi windows dengan key secara online
2. instal ulang pdfsam"
Gangguan CPU,"1. Setelah dilakukan pengecekan, kerusakan terdapat pada power supply dan perlu dilakukan penggantian.
2. Penggantian power supply oleh user.
3. Proses penyelesaian lama dikarenakan menunggu power supply pengganti dari user"
ERP (IM4),nomer memo tersebut sudah di delete karena tidak muncul pada tampilan depan
NAPA - Cadmatic - Nesting,Telah disolusi oleh Alifia Divisi TI
Instalasi Aplikasi,Install WPS office dan excel 2010 trial
NAPA - Cadmatic - Nesting,"1. Dari sisi aplikasi tidak ada masalah.
2. Permasalahan pada gambar project yang belum update"
Network Access,Permintaan user untuk di close
Gangguan Storage,"Dilakukan pengecekan pada HDD, HDD sudah tidak bisa terdeteksi... Maka dari itu tidak bisa dilakukan backup data"
ERP (IM4),sudah dihubungi melalui ext
Gangguan OS,Instal ulang laptop beserta aplikasi standard office
Aplikasi Office/Perkantoran,Install office trial
Network Access,"converter type to lan tidak berfungsi, harap diganti dengan yang baru. trims"
NAPA - Cadmatic - Nesting,Perbaikan sistem windows dll oleh Alifia TI
Instalasi Aplikasi,Instal cad hull 2024
Instalasi Aplikasi,"Instal aplikasi solidworks beserta lisensinya
"
Gangguan Aplikasi Pendukung,"1. Untuk windows 10 keatas kesulitan sharing printer karena windows security.
"
NAPA - Cadmatic - Nesting,Telah disolusi Alifia TI
Email,"buka browser:

- url: exchange.pal.co.id
- Domain\user name: pal\muh_jamali
- Password: (isi password login SSO, atau yang sering diapakai login IM4)

Terima Kasih"
NAPA - Cadmatic - Nesting,Sudah update normal kembali
NAPA - Cadmatic - Nesting,Sudah terinstall dan bisa digunakan 
Email,"(habis ada maintanance)
Silahkan dicoba login kembali.
Terima Kasih"
Network Access,setting LAN
Gangguan OS,"1. Disk Clean Up 
2. Update windows secara online"
Instalasi Aplikasi,Instal Ms.Office visio 2021 versi trial
Network Access,Rekondisi koneksi kabel utp ke pc user
Email,sudah di tambahkan quota storage email
NAPA - Cadmatic - Nesting,Sudah kami sediakan di mapping R
Instalasi Aplikasi,Instal WPS office di komputer DES-CAE-131 & DES-CAE-191
Gangguan Aplikasi Pendukung,Instal apliaksi open image
Aplikasi Office/Perkantoran,Instal office 2016 beserta aktivasi lisensinya
Network Access,menarik kabel utp ke pc baru bengkel Palettizing noiaga
Instalasi Aplikasi,"Untuk aktivasi office dibutuhkan lisensi.
User sudh dihubungi terkait lisensi, jika belum ada bisa dibelikan terlebih dahulu."
Instalasi Aplikasi,"problem : zwcad 2023 sering error.
solusi : instal ulang zwcad dan disk clean up"
Absensi,Kelalaian Personal
Absensi,Disarankan disaat presensi untuk login SSO. agar tracking log GPS bisa ke record.
Gangguan CPU,"1. Setelah dilakukan pengecekan, VGA dalam kondisi rusak.
2. Komputer bisa digunakan tanpa menggunakan VGA "
Email,sudah di increase storage 
Instalasi Aplikasi,Instal aplikasi rhinocerous
Network Access,Penarikan telah dilakukan tanggal 21 Juni 2025
Network Access,"PC sudah dapat IP LAN PAL, tapi tidak bisa akses internet krn ke blok firewall"
Absensi,dapat diperiksa kembali
Instalasi Aplikasi,"Untuk penggunaan aplikasi cadmatic outfitting, user bisa copy file cad out di mapping Z://cadmatic"
Instalasi Aplikasi,"- Setting komputer sesuai dengan standar desain
- untuk akses E-Browser perlu pengajuan memo ke div desain dan tembusan div TI, serta pengajuan form hak akses user."
Absensi,"attandance hari ini statusnya tepat waktu, jika ingin diperbaiki lokasinya silahkan ke ruangan IM4"
Absensi,"jika masih tetap di luar area PT PAL, silahkan membawa HP IM4 ke Divisi TI"
Instalasi Aplikasi,Install ebrowser
Absensi,data attendance tgl 19 sudah sesuai
Network Access,disable enable
Absensi,lain kali mohon untuk memastikan data absen sudah terecord saat CI atau CO
Gangguan CPU,"vga rusak, saat vga dilepas komputer mau tampil"
Instalasi Aplikasi,"1. Instal zwcad beserta lisensi-nya
2. Instal naviswork
3. Untuk cadmatic installer ada di mapping file cadmatic"
NAPA - Cadmatic - Nesting,selesai sesuai request
ERP (IM4),silahkan mencoba untuk login kembali
Instalasi Aplikasi,"1. Instal zwcad
2. jika ada komputer yang belum diinstal bisa diinfokan ke ext 3522.
3. saran untuk permintaan instal aplikasi bisa disertakan nama komputer-nya.
terimakasih"
Absensi,Human Error
Aplikasi Office/Perkantoran,"Instal dan aktivasi office project.
proses lama karena menunggu pembelian lisensi dari user."
Instalasi Aplikasi,"1. Instal aplikasi zwcad di komputer DES-CAE-125 dan DES-CAE-131.
2. Untuk Cadmatic Outfitting perlu pendaftaran hak akses user."
Instalasi Aplikasi,Instal Cad Hul di DES-CAE-129 (Aplikasi & Viewer)
Network Access,"PC sudah dapat IP, tapi tidak bisa akses internet krn ke blok firewall 
"
Absensi,jangan diulangi lagi!!!!!!!!!!!!!!!!!!!!
Network Access,agar update windows minimal ke windows 10 untuk bisa konek ke jaringan PAL
Instalasi Aplikasi,"1. Uninstal aplikasi yang tidak sesuai standar desain
2. Instal aplikasi sesuai standar desain
3. update windows
4. join domain"
Gangguan CPU,"1. restart laptop
2. update windows 
3. dicoba kembali hasil oke"
ERP (IM4),silahkan diperiksa kembali
